,pH,EC,OC,N,P,K,S,Zn,Fe,Cu,Mn,Target,Sub_Target
5914,6.9,0.14,0.42,291.9,20.77,140.1,14.2,1.8,24.2,0.42,1.48,2,4
5915,6.8,0.5,1.5,104.5,21,201.1,17.2,0.72,8.44,0.42,2.52,2,6
5916,7.4,0.24,0.4,278,10.51,459,17.2,0.48,4.79,0.18,0.96,2,5
5917,7.8,0.24,0.3,208,11.26,139.65,15.9,0.52,4.58,0.2,0.84,2,6
5918,7.9,0.24,0.38,265,7.5,149,12.4,0.56,5.56,0.24,0.82,2,4
5919,6.9,0.35,0.28,195,9,135.21,12.9,0.64,5.52,0.22,0.78,2,6
5920,7.3,0.24,0.48,334,8.25,179.53,9.91,0.62,4.58,0.32,1.12,2,4
5921,7,0.14,0.22,153,7.5,165.17,11.6,0.49,4.82,0.28,1.26,2,6
5922,7.4,0.28,0.2,139,9,148.17,10.3,0.66,4.96,0.26,0.72,2,6
5923,7.6,0.28,0.24,167,9.76,203.1,11.6,0.48,5.52,0.22,0.86,2,6
5924,7.2,36,0.42,292,7.5,130.21,10.3,0.58,6.64,0.26,0.68,2,4
5925,6.9,0.63,0.46,319.7,10.68,176.3,5.77,0.7,6.64,0.36,2.44,2,4
5926,7.1,0.62,0.22,152.9,9,54.18,9.2,0.6,7.32,1.36,4.82,2,6
5927,7.23,0.52,0.68,326.2,5.6,176.96,7.4,4.58,8.96,1.02,5.2,2,4
5928,6.9,0.43,0.5,347.5,25.3,134.18,10.2,0.74,6.7,0.3,2.42,2,4
5929,7.1,0.62,0.29,201.55,16.8,411.95,11.2,0.68,7.44,0.36,2.64,2,5
5930,7.1,0.62,0.29,201.55,16.8,411.95,11.2,0.68,7.44,0.36,2.64,2,5
5931,7,0.63,0.37,257.15,12.24,167.6,21.55,0.7,7.55,0.34,2.66,2,4
5932,7,0.63,0.37,257.15,12.24,167.6,21.55,0.7,7.55,0.34,2.66,2,4
5933,7,0.63,0.28,194.6,15.46,112.25,25.86,0.72,6.64,0.3,2.32,2,6
5934,7,0.63,0.28,194.6,15.46,112.25,25.86,0.72,6.64,0.3,2.32,2,6
5935,7,0.64,0.46,319.7,11.78,283.4,23.27,0.74,6.66,0.32,3.18,2,5
5936,7,0.64,0.46,319.7,11.78,283.4,23.27,0.74,6.66,0.32,3.18,2,5
5937,7,0.64,0.25,173.75,10.62,297.6,9.05,0.72,6.7,0.34,3.64,2,5
5938,7,0.64,0.25,173.75,10.62,297.6,9.05,0.72,6.7,0.34,3.64,2,5
5939,7,0.64,0.47,326.65,14.56,76.33,6.12,0.7,6.72,0.36,3.36,2,4
5940,7,0.64,0.47,326.65,14.56,76.33,6.12,0.7,6.72,0.36,3.36,2,4
5941,7,0.54,0.34,236.3,13.42,167.2,28.01,0.74,6.68,0.34,3.18,2,4
5942,7,0.54,0.34,236.3,13.42,167.2,28.01,0.74,6.68,0.34,3.18,2,4
5943,7.1,0.56,0.28,194.6,15.84,283.1,13.06,0.7,6.84,0.3,2.24,2,5
5944,7.1,0.56,0.28,194.6,15.84,283.1,13.06,0.7,6.84,0.3,2.24,2,5
5945,7.1,0.58,0.25,173.75,12.62,98.78,4.48,0.72,6.8,0.32,2.84,2,6
5946,7.1,0.58,0.25,173.75,12.62,98.78,4.48,0.72,6.8,0.32,2.84,2,6
5947,7.1,0.54,0.24,166.8,13.4,169.7,5.77,0.7,7.14,0.28,2.62,2,6
5948,7.1,0.54,0.24,166.8,13.4,169.7,5.77,0.7,7.14,0.28,2.62,2,6
5949,7.1,0.55,0.32,222.4,11.52,177.35,12.75,0.74,7.64,0.3,2.6,2,4
5950,7.1,0.55,0.32,222.4,11.52,177.35,12.75,0.74,7.64,0.3,2.6,2,4
5951,7.1,0.55,0.36,250.2,13.64,164.1,5.77,0.68,7.36,0.32,2.72,2,4
5952,7.1,0.55,0.36,250.2,13.64,164.1,5.77,0.68,7.36,0.32,2.72,2,4
5953,7.1,0.56,0.4,278,10.56,283.1,7.32,0.7,7.72,0.34,2.74,2,5
5954,7.1,0.56,0.4,278,10.56,283.1,7.32,0.7,7.72,0.34,2.74,2,5
5955,7.1,0.54,0.44,305.8,13.44,169.7,28.01,0.7,7.9,0.36,2.66,2,4
5956,7.1,0.54,0.44,305.8,13.44,169.7,28.01,0.7,7.9,0.36,2.66,2,4
5957,7.1,0.52,0.46,319.7,12.62,283.2,7.32,0.72,7.14,0.36,2.68,2,5
5958,7.1,0.52,0.46,319.7,12.62,283.2,7.32,0.72,7.14,0.36,2.68,2,5
5959,7,0.53,0.45,312.75,14.58,169.5,5.17,0.7,9.24,0.36,2.7,2,4
5960,7,0.53,0.45,312.75,14.58,169.5,5.17,0.7,9.24,0.36,2.7,2,4
5961,7,0.53,0.47,326.65,13.72,107.76,11.2,0.74,8.18,0.38,2.64,2,4
5962,7,0.53,0.47,326.65,13.72,107.76,11.2,0.74,8.18,0.38,2.64,2,4
5963,7.1,0.56,0.36,250.2,13.46,187.2,16.3,0.7,9.64,0.28,2.88,2,4
5964,7.1,0.56,0.36,250.2,13.46,187.2,16.3,0.7,9.64,0.28,2.88,2,4
5965,7.1,0.58,0.44,305.8,18.86,169.7,25.86,0.66,9.24,0.3,2.98,2,4
5966,7.1,0.58,0.44,305.8,18.86,169.7,25.86,0.66,9.24,0.3,2.98,2,4
5967,7.1,0.57,0.38,264.1,10.68,183.1,19.7,0.68,7.8,0.32,3.1,2,4
5968,7.1,0.57,0.38,264.1,10.68,183.1,19.7,0.68,7.8,0.32,3.1,2,4
5969,7.1,0.58,0.34,236.3,9.32,234.6,13.2,0.66,7.82,0.34,3.14,2,5
5970,7.1,0.58,0.34,236.3,9.32,234.6,13.2,0.66,7.82,0.34,3.14,2,5
5971,7.1,0.57,0.32,222.4,15.96,167.2,15.3,0.68,7.88,0.32,2.92,2,4
5972,7.1,0.57,0.32,222.4,15.96,167.2,15.3,0.68,7.88,0.32,2.92,2,4
5973,7,0.54,0.24,166.8,13.44,283.2,18.7,0.7,7.16,0.34,2.94,2,5
5974,7,0.54,0.24,166.8,13.44,283.2,18.7,0.7,7.16,0.34,2.94,2,5
5975,7,0.58,0.22,15.29,11.52,169.7,17.8,0.7,7.26,0.3,2.66,2,6
5976,7,0.58,0.22,15.29,11.52,169.7,17.8,0.7,7.26,0.3,2.66,2,6
5977,7,0.56,0.18,125.1,15.64,283.2,12.8,0.68,7.3,0.3,2.72,2,5
5978,7,0.56,0.18,125.1,15.64,283.2,12.8,0.68,7.3,0.3,2.72,2,5
5979,7,0.56,0.2,139,16.72,167.2,15.9,0.66,7.32,0.32,2.74,2,6
5980,7,0.56,0.2,139,16.72,167.2,15.9,0.66,7.32,0.32,2.74,2,6
5981,7,0.53,0.22,152.9,14.84,163.5,29.2,0.6,7.34,0.3,2.8,2,6
5982,7,0.53,0.22,152.9,14.84,163.5,29.2,0.6,7.34,0.3,2.8,2,6
5983,7,0.61,0.29,201.55,8.76,193.1,13.4,0.66,7.46,0.28,2.88,2,6
5984,7,0.61,0.29,201.55,8.76,193.1,13.4,0.66,7.46,0.28,2.88,2,6
5985,7,0.63,0.37,257.15,13.48,197.2,14.82,0.68,7.5,0.3,2.74,2,4
5986,7,0.63,0.37,257.15,13.48,197.2,14.82,0.68,7.5,0.3,2.74,2,4
5987,7,0.63,0.28,194.6,15.56,234.6,16.9,0.68,7.52,0.32,2.36,2,5
5988,7,0.63,0.28,194.6,15.56,234.6,16.9,0.68,7.52,0.32,2.36,2,5
5989,7,0.66,0.46,319.7,17.42,107.76,17.6,0.7,7.56,0.34,2.84,2,4
5990,7,0.66,0.46,319.7,17.42,107.76,17.6,0.7,7.56,0.34,2.84,2,4
5991,7,0.67,0.25,173.75,19.68,177.35,18.2,0.72,7.54,0.36,2.24,2,6
5992,7,0.67,0.25,173.75,19.68,177.35,18.2,0.72,7.54,0.36,2.24,2,6
5993,7,0.67,0.47,326.65,12.4,289.7,20.4,0.7,7.64,0.34,2.36,2,5
5994,7,0.67,0.47,326.65,12.4,289.7,20.4,0.7,7.64,0.34,2.36,2,5
5995,6.9,0.67,0.32,222.4,10.68,164.6,16.9,0.7,7.66,0.4,2.84,2,4
5996,6.9,0.67,0.32,222.4,10.68,164.6,16.9,0.7,7.66,0.4,2.84,2,4
5997,6.9,0.68,0.4,278,14.62,263.4,16.3,0.66,7.14,0.42,2.16,2,5
5998,6.9,0.68,0.4,278,14.62,263.4,16.3,0.66,7.14,0.42,2.16,2,5
5999,6.9,0.55,0.44,305.8,16.76,197.6,21.6,0.68,7.64,0.34,2.8,2,4
6000,6.9,0.55,0.44,305.8,16.76,197.6,21.6,0.68,7.64,0.34,2.8,2,4
6001,6.9,0.56,0.32,222.4,10.6,163.2,22.3,0.68,6.68,0.36,2.8,2,4
6002,6.9,0.56,0.32,222.4,10.6,163.2,22.3,0.68,6.68,0.36,2.8,2,4
6003,7,0.77,0.18,125.1,12.24,287.1,27.9,0.7,6.74,0.34,2.72,2,5
6004,7,0.77,0.18,125.1,12.24,287.1,27.9,0.7,6.74,0.34,2.72,2,5
6005,7,0.66,0.21,139,9.68,169.3,22.3,0.72,6.72,0.32,2.7,2,6
6006,7,0.66,0.21,139,9.68,169.3,22.3,0.72,6.72,0.32,2.7,2,6
6007,7.2,0.43,0.51,354.45,19.52,90.06,15.4,0.68,6.82,0.26,2.66,2,4
6008,7.1,0.44,0.48,333.6,17.26,88.16,16.4,0.66,6.74,0.26,2.84,2,4
6009,7,0.52,0.46,319.7,23.6,178.18,15.5,0.68,6.48,0.3,2.28,2,4
6010,7,0.52,0.46,319.7,23.6,178.18,15.5,0.68,6.48,0.3,2.28,2,4
6011,6.9,0.91,0.4,278,16.72,167.3,15.5,0.68,6.48,0.46,2.38,2,4
6012,6.9,0.91,0.4,278,16.72,167.3,15.5,0.68,6.48,0.46,2.38,2,4
6013,7.1,0.67,0.42,191.9,13.86,197.2,16.3,0.74,6.32,0.62,2.56,2,6
6014,7.1,0.67,0.42,191.9,13.86,197.2,16.3,0.74,6.32,0.62,2.56,2,6
6015,7.9,0.78,0.32,222.4,11.45,163.1,21.55,0.72,6.64,0.58,2.24,2,4
6016,7.9,0.78,0.32,222.4,11.45,163.1,21.55,0.72,6.64,0.58,2.24,2,4
6017,8.1,0.68,0.26,180.7,10.5,175.6,11.2,0.62,6.54,0.36,2.46,2,6
6018,8.1,0.68,0.26,180.7,10.5,175.6,11.2,0.62,6.54,0.36,2.46,2,6
6019,8,0.82,0.48,333.6,14.78,267.5,4.48,0.76,6.76,0.52,2.7,2,5
6020,8,0.82,0.48,333.6,14.78,267.5,4.48,0.76,6.76,0.52,2.7,2,5
6021,6.6,0.8,0.24,166.8,15.62,176.7,6.81,0.8,6.34,0.34,2.68,2,6
6022,6.6,0.8,0.24,166.8,15.62,176.7,6.81,0.8,6.34,0.34,2.68,2,6
6023,7.4,0.86,0.18,125.1,12.64,267.8,19.6,0.66,6.46,0.48,2.44,2,6
6024,7.4,0.86,0.18,125.1,12.64,267.8,19.6,0.66,6.46,0.48,2.44,2,6
6025,6.9,0.73,0.36,250.2,15.6,167.7,28.01,0.72,6.78,0.5,2.6,2,4
6026,6.9,0.73,0.36,250.2,15.6,167.7,28.01,0.72,6.78,0.5,2.6,2,4
6027,7.1,0.82,0.38,264.1,11.86,239.4,15.5,0.62,6.84,0.58,2.48,2,5
6028,7.1,0.82,0.38,264.1,11.86,239.4,15.5,0.62,6.84,0.58,2.48,2,5
6029,7,0.92,0.34,236.3,13.42,169.2,28.01,0.66,7.14,0.36,2.24,2,4
6030,7,0.92,0.34,236.3,13.42,169.2,28.01,0.66,7.14,0.36,2.24,2,4
6031,7.3,0.96,0.22,152.9,16.68,139.7,13.06,0.84,7.26,0.26,2.56,2,6
6032,7.3,0.96,0.22,152.9,16.68,139.7,13.06,0.84,7.26,0.26,2.56,2,6
6033,7.6,0.68,0.26,180.7,15.64,167.4,9.05,0.62,7.32,0.42,2.34,2,6
6034,7.6,0.68,0.26,180.7,15.64,167.4,9.05,0.62,7.32,0.42,2.34,2,6
6035,7.8,0.83,0.28,194.6,12.7,283.3,11.2,0.82,6.68,0.34,2.4,2,5
6036,7.8,0.83,0.28,194.6,12.7,283.3,11.2,0.82,6.68,0.34,2.4,2,5
6037,7.7,0.68,0.3,208.5,10.26,200.6,15.76,0.76,6.42,0.44,2.58,2,6
6038,7.7,0.68,0.3,208.5,10.26,200.6,15.76,0.76,6.42,0.44,2.58,2,6
6039,7.9,0.29,0.34,236.2,13.34,163.7,16.36,0.84,6.68,0.36,2.26,2,4
6040,7.9,0.29,0.34,236.2,13.34,163.7,16.36,0.84,6.68,0.36,2.26,2,4
6041,6.3,0.61,0.32,222.4,14.68,167.5,17.24,0.66,7.22,0.62,2.54,2,4
6042,6.3,0.61,0.32,222.4,14.68,167.5,17.24,0.66,7.22,0.62,2.54,2,4
6043,6.7,0.77,0.36,250.2,13.42,189.4,15.76,0.72,6.52,0.46,2.52,2,4
6044,6.7,0.77,0.36,250.2,13.42,189.4,15.76,0.72,6.52,0.46,2.52,2,4
6045,6.8,0.98,0.38,264.1,13.44,281.6,11.2,0.74,6.46,0.68,2.44,2,5
6046,6.8,0.98,0.38,264.1,13.44,281.6,11.2,0.74,6.46,0.68,2.44,2,5
6047,6.9,0.67,0.18,125.1,15.7,167.6,12.75,0.68,6.38,0.44,2.3,2,6
6048,6.9,0.67,0.18,125.1,15.7,167.6,12.75,0.68,6.38,0.44,2.3,2,6
6049,7,0.82,0.28,194.6,16.28,283.1,6.81,0.72,6.24,0.36,2.12,2,5
6050,7,0.82,0.28,194.6,16.28,283.1,6.81,0.72,6.24,0.36,2.12,2,5
6051,7.1,0.76,0.38,264.1,14.56,169.7,4.48,0.86,7.12,0.32,2.64,2,4
6052,7.1,0.76,0.38,264.1,14.56,169.7,4.48,0.86,7.12,0.32,2.64,2,4
6053,7.3,0.82,0.4,278,12.74,163.1,11.2,0.62,6.18,0.48,2.46,2,4
6054,7.3,0.82,0.4,278,12.74,163.1,11.2,0.62,6.18,0.48,2.46,2,4
6055,7.4,0.68,0.42,291.9,10.28,197.6,21.55,0.76,6.26,0.54,2.38,2,4
6056,7.4,0.68,0.42,291.9,10.28,197.6,21.55,0.76,6.26,0.54,2.38,2,4
6057,6.9,0.67,0.33,229.35,11.5,169.3,15.5,0.86,6.34,0.42,2.34,2,4
6058,6.9,0.67,0.33,229.35,11.5,169.3,15.5,0.86,6.34,0.42,2.34,2,4
6059,7,0.72,0.32,222.4,10.26,287.6,28.01,0.8,6.36,0.58,2.52,2,5
6060,7,0.72,0.32,222.4,10.26,287.6,28.01,0.8,6.36,0.58,2.52,2,5
6061,7.3,0.54,0.18,125.1,12.46,169.2,12.4,0.68,6.38,0.38,2.38,2,6
6062,7.3,0.54,0.18,125.1,12.46,169.2,12.4,0.68,6.38,0.38,2.38,2,6
6063,7.4,0.49,0.28,194.6,10.34,267.4,14.6,0.74,6.46,0.46,2.56,2,5
6064,7.4,0.49,0.28,194.6,10.34,267.4,14.6,0.74,6.46,0.46,2.56,2,5
6065,7.9,0.63,0.32,22.4,11.3,163.7,13.08,0.62,6.22,0.32,2.24,2,6
6066,7.9,0.63,0.32,22.4,11.3,163.7,13.08,0.62,6.22,0.32,2.24,2,6
6067,8.1,0.76,0.3,208.5,13.52,269.5,15.5,0.76,6.18,0.44,2.42,2,5
6068,8.1,0.76,0.3,208.5,13.52,269.5,15.5,0.76,6.18,0.44,2.42,2,5
6069,8.3,0.81,0.36,250.2,16.68,167.4,17.24,0.7,6.12,0.28,2.46,2,4
6070,8.3,0.81,0.36,250.2,16.68,167.4,17.24,0.7,6.12,0.28,2.46,2,4
6071,7.2,0.53,0.38,264.1,15.32,289.6,15.52,0.84,6.26,0.4,2.32,2,5
6072,7.2,0.53,0.38,264.1,15.32,289.6,15.52,0.84,6.26,0.4,2.32,2,5
6073,7,0.63,0.42,291.9,12.6,169.9,10.42,0.66,6.34,0.56,2.34,2,4
6074,7,0.63,0.42,291.9,12.6,169.9,10.42,0.66,6.34,0.56,2.34,2,4
6075,7.1,0.67,0.46,319.7,14.36,199.6,13.06,0.78,6.62,0.26,2.58,2,4
6076,7.1,0.67,0.46,319.7,14.36,199.6,13.06,0.78,6.62,0.26,2.58,2,4
6077,7.2,0.77,0.48,333.6,14.62,169.5,10.3,0.6,6.32,0.22,2.4,2,4
6078,7.2,0.77,0.48,333.6,14.62,169.5,10.3,0.6,6.32,0.22,2.4,2,4
6079,6.9,0.69,0.38,264.1,12.4,169.4,13.62,0.84,6.26,0.34,2.44,2,4
6080,6.9,0.69,0.38,264.1,12.4,169.4,13.62,0.84,6.26,0.34,2.44,2,4
6081,7.7,0.68,0.26,180.7,11.38,197.4,13.08,0.66,6.4,0.38,2.56,2,6
6082,7.7,0.68,0.26,180.7,11.38,197.4,13.08,0.66,6.4,0.38,2.56,2,6
6083,7.3,0.99,0.28,194.6,13.62,287.6,15.56,0.6,6.38,0.22,2.4,2,5
6084,7.3,0.99,0.28,194.6,13.62,287.6,15.56,0.6,6.38,0.22,2.4,2,5
6085,7.4,0.61,0.26,180.7,10.26,163.4,11.46,0.72,6.26,0.5,2.26,2,6
6086,7.4,0.61,0.26,180.7,10.26,163.4,11.46,0.72,6.26,0.5,2.26,2,6
6087,7.2,0.82,0.3,208.5,11.54,289.2,16.32,0.68,6.44,0.48,2.18,2,5
6088,7.2,0.82,0.3,208.5,11.54,289.2,16.32,0.68,6.44,0.48,2.18,2,5
6089,7.1,0.92,0.32,222.4,12.4,167.3,10.48,0.74,6.58,0.44,2.54,2,4
6090,7.1,0.92,0.32,222.4,12.4,167.3,10.48,0.74,6.58,0.44,2.54,2,4
6091,7.2,0.77,0.36,250.2,13.68,283.1,13.62,0.66,6.28,0.26,2.48,2,5
6092,7.2,0.77,0.36,250.2,13.68,283.1,13.62,0.66,6.28,0.26,2.48,2,5
6093,6.9,0.91,0.38,264.1,15.36,169.4,15.68,0.62,6.34,0.36,2.36,2,4
6094,6.9,0.91,0.38,264.1,15.36,169.4,15.68,0.62,6.34,0.36,2.36,2,4
6095,7.6,0.8,0.4,278,16.24,176.3,16.37,0.76,6.56,0.28,2.28,2,4
6096,7.6,0.8,0.4,278,16.24,176.3,16.37,0.76,6.56,0.28,2.28,2,4
6097,6.9,0.72,0.44,305.8,18.46,289.6,11.2,0.68,6.42,0.34,2.36,2,5
6098,6.9,0.72,0.44,305.8,18.46,289.6,11.2,0.68,6.42,0.34,2.36,2,5
6099,7.3,0.72,0.42,291.9,20.32,167.2,11.7,0.64,6.24,0.52,2.56,2,4
6100,7.3,0.72,0.42,291.9,20.32,167.2,11.7,0.64,6.24,0.52,2.56,2,4
6101,7.1,0.77,0.48,333.6,13.54,287.2,12.6,0.62,6.22,0.56,2.4,2,5
6102,7.1,0.77,0.48,333.6,13.54,287.2,12.6,0.62,6.22,0.56,2.4,2,5
6103,7.9,0.79,0.46,319.7,12.68,163.1,16.6,0.78,6.36,0.38,2.32,2,4
6104,7.9,0.79,0.46,319.7,12.68,163.1,16.6,0.78,6.36,0.38,2.32,2,4
6105,6.7,0.81,0.38,264.1,10.64,199.2,10.4,0.66,6.52,0.42,2.44,2,4
6106,6.7,0.81,0.38,264.1,10.64,199.2,10.4,0.66,6.52,0.42,2.44,2,4
6107,7,0.43,0.34,236.3,22.52,140.42,23.5,0.18,4.36,0.34,0.32,2,4
6108,7.7,0.46,0.49,341.94,31.53,131.33,13.9,0.16,4.2,0.26,1.52,2,4
6109,7.1,0.47,0.38,264.1,13.51,150.6,14.7,0.2,4.18,0.22,1.24,2,4
6110,7.1,0.46,0.34,236.3,20.4,205.41,17.8,0.22,4.16,0.48,1.2,2,4
6111,7.1,0.47,0.4,278,21.02,160.18,19.5,0.24,4.2,0.52,1.16,2,4
6112,7.1,0.47,0.31,215.45,22.53,185.21,21.6,0.28,4.32,0.58,1.2,2,6
6113,6.9,0.47,0.42,291.9,39.04,141.43,11.5,0.1,4.3,0.6,1.24,2,4
6114,6.9,0.48,0.19,132.05,32.5,128.12,33.5,0.12,4.26,0.62,1.32,2,6
6115,6.8,0.48,0.41,284.95,25.52,138,27.9,0.14,4.64,0.54,1.54,2,4
6116,6.9,0.48,0.23,159.85,18.6,190.82,15.2,0.16,4.36,0.52,1.48,2,6
6117,7.1,0.48,0.37,257.15,18.01,144.18,17.5,0.18,4.18,0.48,0.46,2,4
6118,7.1,0.47,0.33,229.35,19.4,179.6,13.8,0.2,4.22,0.46,0.52,2,4
6119,7,0.18,0.29,201.55,18.7,193.07,21.3,0.18,4.1,0.58,0.56,2,6
6120,7.1,0.18,0.37,257.15,20.4,190.18,12.2,0.16,3.16,0.62,0.62,2,4
6121,7.4,0.18,0.28,194.6,23.53,188.58,17.6,0.2,2.84,0.64,0.7,2,6
6122,7.2,0.19,0.46,319.7,32.3,188.18,15.2,0.24,4.36,0.62,0.74,2,4
6123,7.6,0.17,0.25,173.75,28.86,135.82,13.4,0.22,5.24,0.64,0.68,2,6
6124,7.1,0.17,0.47,326,15.29,140.18,14.7,0.24,5.22,0.6,0.72,2,4
6125,7.8,0.17,0.34,236.3,17.5,230.11,11.9,0.26,4.64,0.58,1.48,2,5
6126,7.9,0.18,0.28,194.6,18.7,136.18,12.7,0.3,5.36,0.56,1.52,2,6
6127,6,0.18,0.25,173.75,21.6,133.05,16.3,0.32,5.28,0.52,1.24,2,6
6128,6.7,0.16,0.24,166.8,27.02,131.12,14.5,0.28,2.22,0.58,1.32,2,6
6129,6.2,0.17,0.22,152.9,25.3,133.18,21.3,0.24,2.18,0.6,1.38,2,6
6130,6.3,0.17,0.4,278,22.3,147.18,18.5,0.24,2.16,0.62,1.56,2,4
6131,6.4,0.17,0.44,305.8,27.77,157,11.7,0.28,3.1,0.54,1.6,2,4
6132,6.6,0.16,0.46,319.7,25.81,166.12,20.3,0.3,4.36,0.54,1.82,2,4
6133,6.7,0.15,0.45,312.75,28.7,132.08,10.9,0.32,3.42,0.5,1.7,2,4
6134,6.8,0.16,0.47,326.05,26.8,154.06,13.7,0.34,3.18,0.54,1.64,2,4
6135,6.9,0.16,0.4,278,23.6,160.18,18.2,0.32,4.14,0.56,0.72,2,4
6136,7.2,0.17,0.57,96.15,32.1,160.14,15.5,0.24,5.1,0.48,0.84,2,6
6137,7.4,0.17,0.28,194.6,31.53,138.42,11.7,0.22,5.08,0.5,0.92,2,6
6138,7.6,0.17,0.4,278,28.53,124.66,18.9,0.18,5.42,0.54,0.96,2,4
6139,7.5,0.2,0.49,340.55,23.27,122.72,21.3,0.16,4.1,0.6,0.84,2,4
6140,7.9,0.2,0.46,319.7,24.02,123.6,27.5,0.14,4.08,0.62,0.72,2,4
6141,6,0.21,0.47,326.65,21.77,129.33,25.3,0.16,5.1,0.64,0.84,2,4
6142,6.8,0.21,0.41,284.95,27.77,148.36,18.4,0.18,4.46,0.64,0.8,2,4
6143,6.9,0.21,0.42,291.9,25.3,142.86,11.5,0.2,4.32,0.6,0.92,2,4
6144,7,0.22,0.48,336,21.32,140.7,26.7,0.22,4.26,0.36,0.94,2,4
6145,7.8,0.22,0.5,347.5,23.5,204.05,20.2,0.22,4.14,0.68,0.48,2,4
6146,7.4,0.23,0.43,298.85,19.16,230.18,17.8,0.2,4.3,0.52,0.6,2,4
6147,6,0.23,0.45,312.75,26.4,206.04,15.2,0.2,5.3,0.42,0.52,2,4
6148,6,0.23,0.45,312.75,26.4,206.04,15.2,0.2,5.36,0.42,0.52,2,4
6149,6.8,0.23,0.46,319.7,25.3,214.15,19.1,0.24,5.28,0.54,0.46,2,4
6150,6.9,0.24,0.41,284.95,32.3,218.12,17.6,0.2,5.16,0.5,0.5,2,4
6151,7.5,0.24,0.48,336.6,25.1,202.12,12.8,0.18,4.2,0.42,0.42,2,4
6152,6.7,0.13,0.5,347.5,11.26,169.3,13.3,0.86,8.52,0.44,2.34,2,4
6153,7.3,0.7,0.32,222.4,15.82,167.2,26.7,0.66,6.34,0.52,2.34,2,4
6154,7.3,0.7,0.32,222.4,15.82,167.2,26.7,0.66,6.34,0.52,2.34,2,4
6155,7.4,0.7,0.38,264.1,13.46,281.1,18.3,0.7,6.64,0.4,2.3,2,5
6156,7.4,0.7,0.38,264.1,13.46,281.1,18.3,0.7,6.64,0.4,2.3,2,5
6157,7.5,0.79,0.4,278.1,18.64,166.4,16.7,0.6,6.78,0.46,3.64,2,4
6158,7.5,0.79,0.4,278.1,18.64,166.4,16.7,0.6,6.78,0.46,3.64,2,4
6159,7.6,0.67,0.32,222.4,17.52,186.2,26.3,0.82,6.8,0.58,3.22,2,4
6160,7.6,0.67,0.32,222.4,17.52,186.2,26.3,0.82,6.8,0.58,3.22,2,4
6161,7.2,0.7,0.22,152.9,12.6,142.8,18.6,0.66,6.36,0.32,2.28,2,6
6162,7.2,0.7,0.22,152.9,12.6,142.8,18.6,0.66,6.36,0.32,2.28,2,6
6163,6,0.72,0.24,166.8,14.62,179.6,17.5,0.72,6.34,0.34,2.86,2,6
6164,6,0.72,0.24,166.8,14.62,179.6,17.5,0.72,6.34,0.34,2.86,2,6
6165,7.9,0.63,0.28,194.6,16.76,184.7,18.3,0.6,6.62,0.5,2.44,2,6
6166,7.9,0.63,0.28,194.6,16.76,184.7,18.3,0.6,6.62,0.5,2.44,2,6
6167,7,0.77,0.29,201.55,12.46,178.6,19.6,0.66,6.48,0.46,2.44,2,6
6168,7,0.77,0.29,201.55,12.46,178.6,19.6,0.66,6.48,0.46,2.44,2,6
6169,7.2,0.75,0.37,257.15,10.34,196.4,13.8,0.68,7.12,0.34,2.36,2,4
6170,7.2,0.75,0.37,257.15,10.34,196.4,13.8,0.68,7.12,0.34,2.36,2,4
6171,7.1,0.77,0.28,194.6,15.52,208.8,16.9,0.72,6.62,0.48,2.28,2,6
6172,7.1,0.77,0.28,194.6,15.52,208.8,16.9,0.72,6.62,0.48,2.28,2,6
6173,6.9,0.82,0.44,305.8,16.38,164.2,16.7,0.62,6.56,0.52,2.34,2,4
6174,6.9,0.82,0.44,305.8,16.38,164.2,16.7,0.62,6.56,0.52,2.34,2,4
6175,7.3,0.77,0.22,152.9,11.42,169.7,18.6,0.6,6.28,0.36,2.26,2,6
6176,7.3,0.77,0.22,152.9,11.42,169.7,18.6,0.6,6.28,0.36,2.26,2,6
6177,7.4,0.7,0.18,125.1,17.68,226.9,19.7,0.74,6.46,0.5,2.5,2,6
6178,7.4,0.7,0.18,125.1,17.68,226.9,19.7,0.74,6.46,0.5,2.5,2,6
6179,7.6,0.69,0.28,194.6,13.32,182.2,13.2,0.78,6.5,0.42,2.32,2,6
6180,7.6,0.69,0.28,194.6,13.32,182.2,13.2,0.78,6.5,0.42,2.32,2,6
6181,7.4,0.72,0.36,250.2,14.3,172.5,12.6,0.66,6.44,0.44,2.3,2,4
6182,7.4,0.72,0.36,250.2,14.3,172.5,12.6,0.66,6.44,0.44,2.3,2,4
6183,7,0.68,0.48,333.6,18.56,162.2,13.5,0.62,6.36,0.32,2.56,2,4
6184,7,0.68,0.48,333.6,18.56,162.2,13.5,0.62,6.36,0.32,2.56,2,4
6185,7.1,0.76,0.4,278,10.36,177.7,16.72,0.64,6.68,0.38,2.34,2,4
6186,7.1,0.76,0.4,278,10.36,177.7,16.72,0.64,6.68,0.38,2.34,2,4
6187,7.2,0.61,0.42,291.9,19.34,174.6,28.31,0.72,6.56,0.56,2.62,2,4
6188,7.2,0.61,0.42,291.9,19.34,174.6,28.31,0.72,6.56,0.56,2.62,2,4
6189,7.4,0.67,0.29,194.6,12.46,156.2,16.95,0.66,7.26,0.34,2.5,2,6
6190,7.4,0.67,0.29,194.6,12.46,156.2,16.95,0.66,7.26,0.34,2.5,2,6
